Site ID,Rating 5_5_22,Sport Fish Area Boundary,"Area, Region, Quad or City",Road Name,Stream Name,Prioritization,AWCStreamNo,Miles Used for Scoring,MSB Culverts to 16pc Gradient with Green culverts removed ,NHD Miles Data TO NEXT NON-GREEN CULVERT or END,Pre-2022 Miles Data to NEXT BARRIER or END,AWC Miles U/S- ,Acres of Lake,AWC SPECIES at mouth,No of Anadromous Species,Resident AFFI- Needs to be updated.,No of resident species,Red/Gray rating,Rating w/ Perch,Perch height over 1 foot,Perch,latitude,longitude,notes
20303054,Gray,Kenai Peninsula,,Jakalof Bay Road,Unnamed,0,no awc,0.01,,,,,,,,,,0.5,0.5,,,59.44772,-151.49365,
20303807,Gray,Kenai River Drainage,,Sterling Highway,Unnamed,0,no awc,0.01,,,,,,,,,,0.5,0.5,,,60.524317,-149.643483,
20303931,Gray,Kenai Peninsula,,North Ford Road,Anchor River Tributary,0,no awc,0.01,,,,,,,,,,0.5,0.5,,,59.7122,-151.6802,
20200944,Green,Kenai Peninsula,,Salmon Creek Road,Unnamed,0,231-30-10080-2010-3019,0.17,,0.17,,,,COsr,1,,,0,0,,,60.14376,-149.41443,
20203719,Green,Kenai Peninsula,,Timber Lane Drive,Unnamed,0,231-30-10080-2010-3046,0.1,,0.1,,,,COr,1,,,0,0,,,60.16748,-149.39059,
20203723,Green,Kenai Peninsula,,Driveway,Schafller Creek,0,no awc,0.01,,,,,,,,,,0,0,,,60.11335,-149.44391,
20203729,Green,Kenai Peninsula,,Seward Highway,Unnamed,0,231-30-10080-2010-3031-4017,0.27,,0.27,,,,COr,1,,,0,0,,,60.16084,-149.41443,
20203730,Green,Kenai Peninsula,,Dairy Hill Lane,Unnamed,0,231-30-10070-2014,4.02,,4.02,,,,COs,1,,,0,0,,,60.11967,-149.44302,
20203739,Green,Kenai Peninsula,,Driveway,Unnamed,0,no awc,0.01,,,,,,,,,,0,0,,,60.15534,-149.43472,
20203770,Black,Kenai Peninsula,,Taxiway A,Unnamed,0,no awc,0.15,,0.15,,,,,,,,0,0,,,60.129014,-149.417663,
20203771,Black,Kenai Peninsula,,Taxiway C,Unnamed,0,no awc,0.01,,,,,,,,,,0,0,,,60.13256,-149.421292,
20203772,Black,Kenai Peninsula,,Taxiway D,Unnamed Stream,0,231-30-10075-2007,0.01,,,,,,Ps,1,,,0,0,,,60.130531,-149.42109,
20203773,Black,Kenai Peninsula,,Taxiway E,Unnamed,0,231-30-10075-2007,0.01,,,,,,Ps,1,,,0,0,,,60.128596,-149.420839,
20203774,Black,Kenai Peninsula,,Taxiway F,Unnamed,0,231-30-10075-2007,0.01,,,,,,Ps,1,,,0,0,,,60.127526,-149.420648,
20300880,Green,Kenai Peninsula,,,NULL,0,no awc,1.74,,1.74,,,,,,,,0,0,,,60.16718985,-151.4135345,
20300881,Green,Kenai Peninsula,,Falls Creek Road,NULL,0,no awc,3.37,,3.37,,,,,,,,0,0,,,60.15141876,-151.352719,
20300884,Green,Kenai Peninsula,,Oil Well Road,NULL,0,244-20-10100-2019,25.09,,25.09,,,,"COs,Ks,Pp,DVp",4,,,0,0,,,60.02728668,-151.4008124,
20300888,Green,Kenai Peninsula,,Oil Well Road,NULL,0,244-20-10090-2030-3034,4.76,,4.76,,,,COr,1,,,0,0,,,60.04926616,-151.342293,
20300890,Green,Kenai Peninsula,,Oil Well Road,NULL,0,244-20-10090-2030-3036,12.13,,12.13,,,,COr,1,,,0,0,,,60.07111647,-151.3379123,
20300891,Black,Kenai Peninsula,,Oil Well Road,NULL,0,no awc,2.88,,2.88,,,,,,,,0,0,,,60.12671079,-151.2519734,
20300892,Green,Kenai Peninsula,,East Road,NULL,0,no awc,0.01,,,,,,,,,,0,0,,,59.95373675,-151.7037123,
20300897,Green,Kenai Peninsula,,Oil Well Road,NULL,0,no awc,1.32,,1.32,,,,,,,,0,0,,,59.98510548,-151.2247982,
20300898,Green,Kenai Peninsula,,Oil Well Road,NULL,0,no awc,1.66,,1.66,,,,,,,,0,0,,,59.9924118,-151.3358715,
20300901,Green,Kenai Peninsula,,Oil Well Road,NULL,0,no awc,1.37,,1.37,,,,,,,,0,0,,,60.05030762,-151.5819968,
20300904,Black,Kenai Peninsula,,Oil Well Road,NULL,0,244-20-10090-2030-3032,7.51,,7.51,,,,"COp,DVp",2,,,0,0,,,60.06465637,-151.4257295,
20300908,Green,Kenai Peninsula,,Port Graham,NULL,0,no awc,0.01,,,,,,,,,,0,0,,,59.33479675,-151.8174756,
20300910,Green,Kenai Peninsula,,Port Graham,NULL,0,no awc,0.01,,,,,,,,,,0,0,,,59.32599537,-151.7945191,
20300911,Green,Kenai Peninsula,,Port Graham,NULL,0,no awc,0.51,,0.51,,,,,,,,0,0,,,59.3202478,-151.7840817,
20300916,Green,Kenai Peninsula,,Port Graham,NULL,0,241-20-10550-2017,0.13,,0.13,,,,COr,1,,,0,0,,,59.30369057,-151.7204486,
20300917,Green,Kenai Peninsula,,Port Graham,NULL,0,241-20-10550-2015,0.07,,0.07,,,,COr,1,,,0,0,,,59.30607872,-151.7258285,
20300923,Green,Kenai Peninsula,,Port Graham,NULL,0,no awc,0.01,,,,,,,,,,0,0,,,59.34301342,-151.8382971,
20300925,Green,Kenai Peninsula,,Port Graham,NULL,0,no awc,0.01,,,,,,,,,,0,0,,,59.28940489,-151.6870578,
20300928,Green,Kenai Peninsula,,Port Graham,NULL,0,no awc,0.01,,,,,,,,,,0,0,,,59.27868826,-151.659749,
20300931,Green,Kenai River Drainage,,Bean Creek,Bean Creek,0,244-30-10010-2169,2,,2,,,,"COr,Kr",2,,,0,0,,,60.4931344,-149.844504,
20300933,Green,Kenai River Drainage,,Sterling Highway,Unnamed,0,no awc,0.01,,,,,,,,,,0,0,,,60.52410558,-149.6384345,
20300947,Green,Kenai River Drainage,,Seward Highway,Summit Creek,0,no awc,5.55,,5.55,,,,,,,,0,0,,,60.59944025,-149.5410014,
20300953,Green,Kenai Peninsula,,Hope Highway FH 14,Alder Creek,0,no awc,8.27,,8.27,,,,,,,,0,0,,,60.81738852,-149.4318646,
20300966,Green,Kenai River Drainage,,College Loop Road,Slikok Creek,0,244-30-10010-2030,0.28,,0.28,,,,"COsr,Ksr,Ps,Spr,DVr",5,,,0,0,,,60.47640847,-151.1393446,
20300968,Green,Kenai River Drainage,,Arc Loop Road,Slikok Creek,0,244-30-10010-2030,24.42,,24.42,,,,"COsr,Ksr,Ps,Spr,DVr",5,,,0,0,,,60.4334382,-151.1221224,
20300970,Green,Kenai Peninsula,,Sterling Highway,Coal Creek,0,244-30-10050-2015,47.94,,47.94,,,,"COs,Ps,DVp",3,,,0,0,,,60.35083,-151.2172,
20300977,Green,Kenai Peninsula,,North Kenai Highway,Bishop Creek,0,no awc,47.13,,47.13,,,,,,,,0,0,,,60.77507648,-151.0986749,
20300978,Green,Kenai River Drainage,,Kenai Spur Highway,Unnamed,0,no awc,9.31,,9.31,,,,,,,,0,0,,,60.56729008,-151.1467485,
20300979,Green,Kenai Peninsula,,Sterling Highway,Crooked Creek,0,244-30-10050-2024,123.93,,123.93,,,,"COs,Ks,Pp,Ss,DVp,PCp,SHp",7,,,0,0,,,60.30205097,-151.2712755,
20300984,Green,Kenai Peninsula,,Sterling Highway,Stariski Creek,0,244-10-10050,134.96,,134.96,,,,"COrs,Krs,Ps,DVp,SHp",5,,,0,0,,,59.85143633,-151.7905646,
20300990,Black,Kenai Peninsula,,Sterling Highway,Unnamed,0,244-10-10010-2088,9,,9,,,,"COsr,DVr",2,,,0,0,,,59.71386,-151.70264,
20300991,Green,Kenai River Drainage,,Driveway Spenard Builders Supp,Unnamed,0,244-30-10010-2010,0.4,,0.4,,,,"COr,Kr,Pp,Sr",4,,,0,0,,,60.51664824,-151.2038974,
20300992,Black,Kenai River Drainage,,Kalifornsky Beach Road,Unnamed,0,244-30-10010-2010,0.49,,0.49,,,,"COr,Kr,Pp,Sr",4,,,0,0,,,60.51760824,-151.2059275,
20300993,Green,Kenai River Drainage,,East Redoubt Street,Soldotna Creek,0,244-30-10010-2039,1.72,,1.72,,,,"COsr,Kr,Sr,DVp,LPp,SHp",6,,,0,0,,,60.48775911,-151.0468423,
20300998,Green,Kenai River Drainage,,Skilak Lake Road,Hidden Creek,0,244-30-10010-2137,11.36,,11.36,,,,"COsr,Ss,DVp",3,,,0,0,,,60.45784506,-150.1982658,
20301005,Green,Kenai Peninsula,,Swan Lake Road,Unnamed,0,no awc,0.77,,0.77,,,,,,,,0,0,,,60.73148675,-150.7415331,
20301008,Green,Kenai River Drainage,,Bridge Access Road,Beaver Loop Creek,0,244-30-10010-2007,2.41,,2.41,,,,COr,1,,,0,0,,,60.54427913,-151.2118186,
20301009,Green,Kenai Peninsula,,"Swanson River Road, off of ",Mink Creek,0,247-90-10020-2036,4.79,,4.79,,,,COsr,1,,,0,0,,,60.70406556,-150.8691787,
20301011,Green,Kenai Peninsula,,"Swanson River Road, off of ",Breeze Lake Creek,0,247-90-10020-2040-3005,0.41,,0.41,,,,COr,1,,,0,0,,,60.70410575,-150.8254765,
20301012,Black,Kenai Peninsula,,"Swanson River Road, off ",Breeze Lake Creek,0,no awc,2.9,,2.9,,,,,,,,0,0,,,60.70315566,-150.8393872,
20301013,Green,Kenai River Drainage,,Stephens Drive,Unnamed,0,244-30-10010-2051,0.53,,0.53,,,,COr,1,,,0,0,,,60.50732097,-150.8563533,
20301021,Green,Kenai Peninsula,,Hutler Road,Beaver Creek,0,244-10-10010-2150,7.89,,7.89,,,,"COsr,Ksr,DVpr",3,,,0,0,,,59.73828,-151.30996,
20301024,Green,Kenai Peninsula,,Oil Well Road,Silver Salmon,0,244-20-10100-2019,45.39,,45.39,,,,"COs,Ks,Pp,DVp",4,,,0,0,,,60.01066328,-151.5253129,
20301026,Green,Kenai Peninsula,,Fish Hatchery,Crooked Creek,0,no awc,0.01,,,,,,,,,,0,0,,,60.29637088,-151.2756155,
20302477,Green,Kenai River Drainage,,Duncan Drive,Kenai River Tributary,0,244-30-10010-2057,0.41,,0.41,,,,"COr,Kr",2,,,0,0,,,60.51339,-150.79164,
20302509,Black,Kenai Peninsula,,Stickleback Road,Bishop Creek tributary,0,247-90-10030-2032,0.82,,0.82,,,,"COp,Sp",2,,,0,0,,,60.72894,-151.16673,
20303052,Black,Kenai Peninsula,,Jakalof Bay Road,Unnamed,0,no awc,0.01,,,,,,,,,,0,0,,,59.44474,-151.48219,
20303055,Black,Kenai Peninsula,,Jakalof Road,Unnamed,0,no awc,1.38,,1.38,,,,,,,,0,0,,,59.45235,-151.52417,
20303057,Black,Kenai Peninsula,,Karshevarof Road,Unnamed,0,no awc,0.01,,,,,,,,,,0,0,,,59.47644,-151.65186,
20303058,Black,Kenai Peninsula,,Karshevarof Road,Unnamed,0,no awc,0.01,,,,,,,,,,0,0,,,59.47662,-151.65523,
20303059,Black,Kenai Peninsula,,Unnamed,Unnamed,0,no awc,0.01,,,,,,,,,,0,0,,,59.47818,-151.65428,
20303060,Black,Kenai Peninsula,,Jakalof Bay Road,Unnamed,0,no awc,4.33,,4.33,,,,,,,,0,0,,,59.46471,-151.6789,
20303061,Green,Kenai Peninsula,,Airport Way,Fish Creek,0,no awc,0.01,,,,,,,,,,0,0,,,59.438,-151.703,
20303743,Black,Kenai River Drainage,,Akiak Road,Unnamed,0,244-30-10010-2007,1.42,,1.42,,,,COr,1,,,0,0,,,60.567283,-151.189161,
20303744,Green,Kenai River Drainage,,Beaver Loop Road,Unnamed,0,244-30-10010-2025-3011,0.98,,0.98,,,,"COr,Sr",2,,,0,0,,,60.56127,-151.12889,
20303746,Green,Kenai River Drainage,,Messer Street,Mackey Lake outlet,0,244-30-10010-2039-3029,2.63,,2.63,,,,COs,1,,,0,0,,,60.5277,-150.98456,
20303747,Green,Kenai River Drainage,,Enstar Pipeline Access Rd,Unnamed,0,244-30-10010-2036,0.44,,0.44,,,,"COr,Kr,Sr",3,,,0,0,,,60.502797,-151.118312,
20303750,Black,Kenai River Drainage,,Strawberry Road,Unnamed,0,no awc,1.8,,1.8,,,,,,,,0,0,,,60.545569,-150.983408,
20303755,Black,Kenai River Drainage,,Otter Trail Road,Unnamed,0,244-30-10010-2063-3004,0.01,,,,,,COr,1,,,0,0,,,60.547584,-150.736151,
20303791,Black,Kenai Peninsula,,Holt-Lamplight Road,Bishop Creek,0,247-90-10030,2.44,,2.44,,,,"COs,Ps,Ss,DVp",4,,,0,0,,,60.6893,-151.23021,
20303793,Black,Kenai Peninsula,,Taurianen Trail,Daniels Creek,0,no awc,1.28,,1.28,,,,,,,,0,0,,,60.717007,-151.159512,
20303794,Black,Kenai Peninsula,,Parson's Road,Bishop Creek,0,247-90-10030,0.57,,0.57,,,,"COs,Ps,Ss,DVp",4,,,0,0,,,60.690416,-151.254998,
20303795,Black,Kenai River Drainage,,4th Avenue,Unnamed,0,244-30-10010-2001,2.4,,2.4,,,,"COr,Kr,Sr",3,,,0,0,,,60.565187,-151.27117,
20303796,Green,Kenai River Drainage,,Kenai Spur Highway,Unnamed,0,244-30-10010-2003,1.61,,1.61,,,,"COr,Sr",2,,,0,0,,,60.561208,-151.224424,
20303797,Black,Kenai River Drainage,,Lawton Drive,Unnamed,0,244-30-10010-2003,0.01,,,,,,"COr,Sr",2,,,0,0,,,60.560129,-151.224424,
20303798,Black,Kenai River Drainage,,Kalifornsky Beach Road,Unnamed,0,no awc,1.49,,1.49,,,,,,,,0,0,,,60.516095,-151.230092,
20303799,Black,Kenai River Drainage,,Unnamed,Unnamed,0,244-30-10010-2010,2.25,,2.25,,,,"COr,Kr,Pp,Sr",4,,,0,0,,,60.513741,-151.196436,
20303805,Green,Kenai River Drainage,,Forest Road,Unnamed,0,244-30-10010-2039-3010,0.21,,0.21,,,,COr,1,,,0,0,,,60.495381,-151.019059,
20303808,Green,Kenai River Drainage,,Sterling Highway,Unnamed,0,244-30-10010-2157,0.45,,0.45,,,,COr,1,,,0,0,,,60.48749,-149.984016,
20303922,Black,Kenai River Drainage,,Sterling Highway,Denaina Creek,0,no awc,1.25,,1.25,,,,,,,,0,0,,,60.489599,-149.716271,
20303925,Black,Kenai River Drainage,,Sterling Highway,Unnamed,0,244-30-10010-2177-3020-4285,0.01,,,,,,COr,1,,,0,0,,,60.533335,-149.568202,
20303926,Black,Kenai River Drainage,,Kenai Borough ROW,Daves Creek,0,no awc,3.15,,3.15,,,,,,,,0,0,,,60.524367,-149.514425,
20303927,Black,Kenai River Drainage,,Seward Highway,Unnamed,0,244-30-10010-2250-3026,0.83,,0.83,,,,COr,1,,,0,0,,,60.273352,-149.346305,
20303928,Black,Kenai River Drainage,,Seward Highway,Unnamed,0,no awc,0.85,,0.85,,,,,,,,0,0,,,60.275027,-149.345972,
20303929,Black,Kenai River Drainage,,Seward Highway,Unnamed,0,244-30-10010-2250-3024,5.04,,5.04,,,,COpr,1,,,0,0,,,60.29174,-149.347493,
20303937,Black,Kenai River Drainage,,Sterling Highway,Tern Lake tributary,0,no awc,0.01,,,,,,,,,,0,0,,,60.534389,-149.546259,
20303938,Black,Kenai River Drainage,,Sterling Highway,Tern Lake tributary,0,no awc,0.01,,,,,,,,,,0,0,,,60.53329,-149.553379,
20303939,Black,Kenai River Drainage,,Sterling Highway,Daves Creek Mainstem,0,244-30-10010-2177-3020,0.32,,0.32,,,,"COsr,Ksr,Sp,Wp",4,,,0,0,,,60.52491,-149.616622,
20303941,Black,Kenai River Drainage,,Seward Highway,Tributary to Snow River,0,244-30-10010-2250-3018,0.37,,0.37,,,,COs,1,,,0,0,,,60.29476,-149.351624,
20303942,Black,Kenai River Drainage,,Seward Highway,Trib to Snow River,0,no awc,0.01,,,,,,,,,,0,0,,,60.302346,-149.356346,
20303945,Black,Kenai Peninsula,,Kenai Spur Highway,,0,no awc,5.29,,5.29,,,,,,,,0,0,,,60.621,-151.333,
