Site ID,Rating 5_5_22,Sport Fish Area Boundary,"Area, Region, Quad or City",Road Name,Stream Name,Prioritization,AWCStreamNo,Miles Used for Scoring,MSB Culverts to 16pc Gradient with Green culverts removed ,NHD Miles Data TO NEXT NON-GREEN CULVERT or END,Pre-2022 Miles Data to NEXT BARRIER or END,AWC Miles U/S- ,Acres of Lake,AWC SPECIES at mouth,No of Anadromous Species,Resident AFFI- Needs to be updated.,No of resident species,Red/Gray rating,Rating w/ Perch,Perch height over 1 foot,Perch,latitude,longitude,notes
20300971,Gray,Kenai River Drainage,,Kalifornsky Beach Road,Slikok Creek,3.2,244-30-10010-2030,9.33,,9.33,,,,"COsr,Ksr,Ps,Spr,DVr",5,,,0.5,0.5,,,60.47326839,-151.1401944,
20303749,Red,Kenai River Drainage,,Funny River Road,Unnamed,2.9,244-30-10010-2042,2.17,,2.17,,,,DVr,1,,,1,2,2.1,1,60.465287,-150.996111,
20300954,Gray,Kenai Peninsula,,Seward Highway,Silvertip Creek,2.9,247-60-10170-2029-3026,9,,9,,,,"COsr,Ksr",2,,,0.5,0.5,,,60.74010742,-149.3594862,side channel
20301025,Red,Kenai Peninsula,,Sterling Highway,Unnamed,2.8,no awc,4.73,,4.73,,,,,,,,1,1,,,60.23351809,-151.385988,
20300948,Red,Kenai River Drainage,,Seward Highway,John's Creek,2.8,no awc,4.71,,4.71,,,,,,,,1,1,,,60.55804659,-149.5837499,
20300942,Gray,Kenai Peninsula,,Seward Highway,Colorado Creek,2.7,no awc,9.11,,9.11,,,,,,,,0.5,0.5,,,60.64325469,-149.4975849,
20301020,Red,Kenai Peninsula,,East End Road,McNeil Creek,2.7,no awc,2.24,,2.24,,,,,,,,1,2,3.1,1,59.74464694,-151.256329,
20300995,Gray,Kenai River Drainage,,Sterling Highway,Moose River East Fork ,2.5,244-30-10010-2063-3036,7.72,,7.72,,,,"COs,Ss",2,,,0.5,0.5,,,60.53073198,-150.462176,
20300952,Red,Kenai Peninsula,,Hope Highway FH 14,Beaver Dam Creek,2.4,no awc,3.93,,3.93,,,,,,,,1,1,,,60.80140568,-149.437862,
20300960,Red,Kenai Peninsula,,Seward Highway,Bertha Creek,2.2,no awc,3.68,,3.68,,,,,,,,1,1,,,60.75089349,-149.251127,
20300983,Gray,Kenai Peninsula,,Sterling Highway,Happy Creek,2.2,no awc,7.25,,7.25,,,,,,,,0.5,0.5,,,59.93692125,-151.7375578,
20300886,Red,Kenai Peninsula,,Oil Well Road,NULL,1.8,244-20-10090-2030-3032-4005,2.53,,2.53,,,,"COr,DVr",2,,,1,1,,,60.04943232,-151.3820278,
20300941,Gray,Kenai River Drainage,,Seward Highway,Summit Creek,1.7,no awc,5.69,,5.69,,,,,,,,0.5,0.5,,,60.61012,-149.5352811,
20301010,Gray,Kenai Peninsula,,"Swanson River Road, off of ",Mink Creek,1.6,247-90-10020-2036,5.16,,5.16,,,,COsr,1,,,0.5,0.5,,,60.70577565,-150.8618983,
20303748,Gray,Kenai River Drainage,,First Avenue,Unnamed,1.6,244-30-10010-2001-3004,5.03,,5.03,,,,COr,1,,,0.5,0.5,,,60.559728,-151.261434,
20301003,Red,Kenai River Drainage,,Upper Skilak Campground Road,NULL,1.6,no awc,1.3,,1.3,,,,,,,,1,2,2.56,1,60.4556208,-150.3101649,
20300936,Red,Kenai River Drainage,,Seward Highway,Unnamed,1.6,no awc,2.59,,2.59,,,,,,,,1,1,,,60.31044957,-149.3602119,
20300930,Red,Kenai River Drainage,,Ptarmigan Place,Bean Creek,1.5,244-30-10010-2169,2.03,,2.03,,,,"COr,Kr",2,,,1,1,,,60.4931312,-149.8439313,
